25 40
#############
#...........#    ########
#...s...s...######......#
#...........c...........#
#...........######..&...#
#.....s.....#    #......#
#....f......#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#         ###..###
  ###..####      #......#
  #..@....#      #......#
  #.......#      #......#
  #.......#      #...k..#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  ####.####      #######^
######.######
#...........#    ########
#...s...s...######......#
#...........c...........#
#...........######..&...#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#         ###..###
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #...k..#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #########      #######^
